id,nodeid,nodetype,workgroupid,username,id,name,sgender,parentprojectid,data
4147,node_20.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_20.al"",""visitEndTime"":1393970688000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393970686223,""assessments"":[{""response"":{""id"":""aDuW5lYF3W"",""text"":""Graph D"",""autoScoreResult"":{""maxScore"":1}},""id"":""0dHlpeqkc8"",""type"":""radio""},{""response"":{""id"":""cdBPrQDfVG"",""text"":""Graph B"",""autoScoreResult"":{""maxScore"":1}},""id"":""h8mqBgvQsj"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393970625000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4148,node_21.al,AssessmentListNode,6625,EleanorO0428,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_21.al"",""visitEndTime"":1393970704000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393970695173,""assessments"":[{""response"":{""id"":""tTJnOIqaAU"",""text"":""It rains AND your friend passes the history final."",""autoScoreResult"":{""maxScore"":1}},""id"":""Fin0piIKWa"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393970688000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4137,node_0.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_0.al"",""visitEndTime"":1393861696000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393861696309,""assessments"":[{""response"":{""id"":""uEOH6H5gM6"",""text"":""During treatment with an antibiotic, all of the bacteria gradually become more resistant to the antibiotic the more they are exposed to it.  They all survive and pass this trait to their offspring."",""autoScoreResult"":{""maxScore"":1}},""id"":""kyGatwL8Zy"",""type"":""radio""},{""response"":{""id"":""IgaUggyULI"",""text"":""The individual birds that already have the kind of beak that allows them to eat the seeds that are harder to crack open would be more likely to survive and reproduce."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""bJKlnjnZ27"",""type"":""radio""},{""response"":null,""id"":""rCwfXhhb1O"",""type"":""radio""},{""response"":null,""id"":""Ol4jrE6MXI"",""type"":""radio""},{""response"":null,""id"":""YJVWkwkdRu"",""type"":""text""}],""submit"":false,""isSubmit"":false,""type"":""assessmentlist""}],""visitStartTime"":1393861569000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4137,node_0.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_0.al"",""visitEndTime"":1393861892000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393861883824,""assessments"":[{""response"":{""id"":""uEOH6H5gM6"",""text"":""During treatment with an antibiotic, all of the bacteria gradually become more resistant to the antibiotic the more they are exposed to it.  They all survive and pass this trait to their offspring."",""autoScoreResult"":{""maxScore"":1}},""id"":""kyGatwL8Zy"",""type"":""radio""},{""response"":{""id"":""IgaUggyULI"",""text"":""The individual birds that already have the kind of beak that allows them to eat the seeds that are harder to crack open would be more likely to survive and reproduce."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""bJKlnjnZ27"",""type"":""radio""},{""response"":{""id"":""u1mmkUWs6D"",""text"":""Most species living today did not exist at the time life began."",""autoScoreResult"":{""maxScore"":1,""isCorrect"":true}},""id"":""rCwfXhhb1O"",""type"":""radio""},{""response"":{""id"":""HicmKwpJTB"",""text"":""The gene pool becomes more diverse"",""autoScoreResult"":{""maxScore"":1}},""id"":""Ol4jrE6MXI"",""type"":""radio""},{""response"":{""text"":""Humans can select differing individuals in order to make the population more diverse""},""id"":""YJVWkwkdRu"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393861790000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4138,node_17.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_17.al"",""visitEndTime"":1393862036000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862031192,""assessments"":[{""response"":{""id"":""mwilZluP7g"",""text"":""She can be absolutely certain that the real airplane will fly well in the rain, but only if her model includes all of the things she thinks might affect how the real airplane flies in the rain."",""autoScoreResult"":{""maxScore"":1}},""id"":""gHnYaEJsRx"",""type"":""radio""},{""response"":{""id"":""4QCHMCBeSw"",""text"":""The small-scale version of the house and the floor plans are both equally good models because they both are representing the same object."",""autoScoreResult"":{""maxScore"":1}},""id"":""5Sl88vyECB"",""type"":""radio""},{""response"":{""id"":""UnklR5mPpK"",""text"":""It is not possible to conclude from this experiment if 60F is better than 90F for growing these plants or if one cup of water is better than two cups of water for growing these plants. "",""autoScoreResult"":{""maxScore"":0,""isCorrect"":true}},""id"":""ijwuCmUAo2"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393861892000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4139,node_10.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_10.al"",""visitEndTime"":1393862212000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862209277,""assessments"":[{""response"":{""id"":""AIrZ8buLJ5"",""text"":""On both parts, the average length of their tail will have increased."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""xuquELx0uX"",""type"":""radio""},{""response"":{""text"":""The lizards with longer tails will be most likely to survive and pass this trait on to their offspring.""},""id"":""egXDDynYbq"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862036000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4140,node_11.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_11.al"",""visitEndTime"":1393862364000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862358836,""assessments"":[{""response"":{""id"":""tcxPSi2Akc"",""text"":""In general, dominant alleles will be greater in number than recessive alleles on both parts of the island."",""autoScoreResult"":{""maxScore"":1}},""id"":""jf6TONHsd2"",""type"":""radio""},{""response"":{""text"":""More dominant species will be a product.""},""id"":""ffNUt2iyDE"",""type"":""text""},{""response"":{""id"":""gOyHhVkmZU"",""text"":""The proportion of dominant and recessive alleles will be roughly 75% to 25%."",""autoScoreResult"":{""maxScore"":1}},""id"":""etjxUgd7Z7"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862212000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4141,node_12.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_12.al"",""visitEndTime"":1393862411000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862408288,""assessments"":[{""response"":{""id"":""tpCiMIbSWT"",""text"":""Chance played a bigger role in one than the other."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""XyKkhFGIPm"",""type"":""radio""},{""response"":{""text"":""Predators afftect one and not the other""},""id"":""xTsQY4z6dL"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862364000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4142,node_13.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_13.al"",""visitEndTime"":1393862461000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862457551,""assessments"":[{""response"":{""text"":""They blend with their surroundings in order to avoid predators.""},""id"":""rVoKNuuAiG"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862411000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4143,node_14.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_14.al"",""visitEndTime"":1393862590000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862576094,""assessments"":[{""response"":{""id"":""mIYVJptkTc"",""text"":""0: Played no role or a negligible role""},""id"":""EzKmtagRGY"",""type"":""radio""},{""response"":{""id"":""ZA50TNCTY5"",""text"":""0: Played no role or a negligible role""},""id"":""litJb54alj"",""type"":""radio""},{""response"":{""id"":""fmdTP5iQke"",""text"":""1: Played a role""},""id"":""nhZOGK8qpO"",""type"":""radio""},{""response"":{""id"":""LSDbBrHyyb"",""text"":""1: Played a role""},""id"":""8KJldqvorQ"",""type"":""radio""},{""response"":{""id"":""3uAeu2Mg6q"",""text"":""0: Played no role or a negligible role""},""id"":""w2vbawNnnh"",""type"":""radio""},{""response"":{""id"":""7sU1Vp2JTv"",""text"":""1: Played a role""},""id"":""8fiTGm2BnC"",""type"":""radio""},{""response"":{""text"":""?""},""id"":""UEW1uYNnVg"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862513000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4144,node_15.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_15.al"",""visitEndTime"":1393862674000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862672249,""assessments"":[{""response"":{""id"":""3SUTt3hC0H"",""text"":""Introducing a new breed of panthers"",""autoScoreResult"":{""maxScore"":0,""isCorrect"":true}},""id"":""lkZj7mtwk4"",""type"":""radio""},{""response"":{""text"":""They could breed eith the old ones.""},""id"":""YiqdDVB0lJ"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862590000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4145,node_18.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_18.al"",""visitEndTime"":1393862770000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862768368,""assessments"":[{""response"":{""id"":""cUxo17cncv"",""text"":""The distance between each child does not affect the average distance they travel."",""autoScoreResult"":{""maxScore"":1}},""id"":""l56D2FAV3d"",""type"":""radio""},{""response"":{""text"":""They both have to travel the same distance""},""id"":""7zMEOFH1Vm"",""type"":""text""},{""response"":{""id"":""3E2OMIdUFF"",""text"":""Where they are in the line does not affect the distance they have to walk."",""autoScoreResult"":{""maxScore"":1}},""id"":""yOlU6VfZAZ"",""type"":""radio""},{""response"":{""text"":""They both have to travel the same distance""},""id"":""AWUGamhWtt"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862674000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4146,node_19.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_19.al"",""visitEndTime"":1393862846000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862844620,""assessments"":[{""response"":{""id"":""NEZPdQE6aZ"",""text"":""Path B"",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""oWovHD6c2V"",""type"":""radio""},{""response"":{""id"":""PTFpqYHgPZ"",""text"":""No, he shouldn't, because it will decrease his chances of reaching to the charing station."",""autoScoreResult"":{""maxScore"":1}},""id"":""dOoRm2Fpm0"",""type"":""radio""},{""response"":{""text"":""It will likely eventually reach the number or side of coin.""},""id"":""cADFqYQTOz"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862770000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4147,node_20.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_20.al"",""visitEndTime"":1393862921000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862919189,""assessments"":[{""response"":{""id"":""EFJaN4zSeM"",""text"":""Graph A"",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""0dHlpeqkc8"",""type"":""radio""},{""response"":{""id"":""J6pbtlzM1t"",""text"":""Graph D"",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""h8mqBgvQsj"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862846000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4148,node_21.al,AssessmentListNode,6621,IsabelleK0601,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_21.al"",""visitEndTime"":1393863554000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862943209,""assessments"":[{""response"":{""id"":""tTJnOIqaAU"",""text"":""It rains AND your friend passes the history final."",""autoScoreResult"":{""maxScore"":1}},""id"":""Fin0piIKWa"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393862921000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4137,node_0.al,AssessmentListNode,6622,MartaC0701,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_0.al"",""visitEndTime"":1393861781000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393861763124,""assessments"":[{""response"":{""id"":""RvezbUYNnA"",""text"":""During treatment with an antibiotic, each individual bacterium tries to become resistant to the antibiotic.  Only some are able to willingly become resistant, and these individuals survive to pass this trait to their offspring."",""autoScoreResult"":{""maxScore"":1}},""id"":""kyGatwL8Zy"",""type"":""radio""},{""response"":{""id"":""IgaUggyULI"",""text"":""The individual birds that already have the kind of beak that allows them to eat the seeds that are harder to crack open would be more likely to survive and reproduce."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""bJKlnjnZ27"",""type"":""radio""},{""response"":{""id"":""CxTttwf4rI"",""text"":""Most species living today have existed since the time life began, but a few have appeared more recently."",""autoScoreResult"":{""maxScore"":1}},""id"":""rCwfXhhb1O"",""type"":""radio""},{""response"":{""id"":""tgtbHYUOT8"",""text"":""The gene pool fluctuates"",""autoScoreResult"":{""maxScore"":1}},""id"":""Ol4jrE6MXI"",""type"":""radio""},{""response"":{""text"":""If humans choose their indivuduals in a population they will most likely choose the best most efficient animals and therefore get the better genes and produce better animals""},""id"":""YJVWkwkdRu"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393861586000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4138,node_17.al,AssessmentListNode,6622,MartaC0701,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_17.al"",""visitEndTime"":1393861870000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393861867194,""assessments"":[{""response"":{""id"":""2jzlnH1uDJ"",""text"":""She cannot be absolutely certain that the real airplane will fly well in the rain unless she actually flies the real airplane in the rain."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""gHnYaEJsRx"",""type"":""radio""},{""response"":{""id"":""UJtHErrwmM"",""text"":""Either the small-scale version of the house or the floor plans could be a better model depending on what model will be used for."",""autoScoreResult"":{""maxScore"":1,""choiceScore"":1,""isCorrect"":true}},""id"":""5Sl88vyECB"",""type"":""radio""},{""response"":{""id"":""UnklR5mPpK"",""text"":""It is not possible to conclude from this experiment if 60F is better than 90F for growing these plants or if one cup of water is better than two cups of water for growing these plants. "",""autoScoreResult"":{""maxScore"":0,""isCorrect"":true}},""id"":""ijwuCmUAo2"",""type"":""radio""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393861781000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
4139,node_10.al,AssessmentListNode,6622,MartaC0701,303,Evolution Pre-test - Cindy Blakeslee - Loyola Academy,1,463,"{""nodeId"":""node_10.al"",""visitEndTime"":1393862038000,""hintStates"":[],""nodeStates"":[{""timestamp"":1393862033437,""assessments"":[{""response"":{""id"":""X526zNleHP"",""text"":""On both parts, the average length of their tail will have decreased."",""autoScoreResult"":{""maxScore"":1}},""id"":""xuquELx0uX"",""type"":""radio""},{""response"":{""text"":""The ones with the longer tail will survive""},""id"":""egXDDynYbq"",""type"":""text""}],""submit"":false,""isSubmit"":true,""locked"":true,""type"":""assessmentlist""}],""visitStartTime"":1393861870000,""nodeType"":""AssessmentListNode"",""visitPostTime"":null}"
